2020-09-09 23:06:18 INFO  RunTestCase:387 - ==============Run main=========================
2020-09-09 23:06:19 INFO  RunTestCase:399 - ======== Read TestCase ========= D:\kiemchungphanmem\code selenium\selenium\..\Testcase\testcase_create Account.xlsx
2020-09-09 23:06:19 INFO  RunTestCase:402 - ======== Read Input TestCase ========= D:\kiemchungphanmem\code selenium\selenium\..\DataInput\data input create Account.xlsx
2020-09-09 23:06:19 INFO  RunTestCase:405 - Start=========================Đăng kí không thành công với tất cả trường đều rỗng có check Conditon=================================
2020-09-09 23:06:23 INFO  RunTestCase:60 - Start Run Step TestCase
2020-09-09 23:06:23 INFO  RunTestCase:75 - 1
2020-09-09 23:06:23 INFO  RunTestCase:80 - OPENURL http://localhost/supermarketv3/Register.aspx
2020-09-09 23:06:23 INFO  RunTestCase:75 - 2
2020-09-09 23:06:23 INFO  RunTestCase:87 - INPUT data id FullName Value 
2020-09-09 23:06:23 INFO  RunTestCase:75 - 3
2020-09-09 23:06:23 INFO  RunTestCase:87 - INPUT data id Email Value 
2020-09-09 23:06:23 INFO  RunTestCase:75 - 4
2020-09-09 23:06:23 INFO  RunTestCase:87 - INPUT data id UserName Value 
2020-09-09 23:06:23 INFO  RunTestCase:75 - 5
2020-09-09 23:06:23 INFO  RunTestCase:87 - INPUT data id Password Value 
2020-09-09 23:06:23 INFO  RunTestCase:75 - 6
2020-09-09 23:06:23 INFO  RunTestCase:87 - INPUT data id ConfirmPassword Value 
2020-09-09 23:06:23 INFO  RunTestCase:75 - 7
2020-09-09 23:06:23 INFO  RunTestCase:128 - SELECT ID: What is your favorite colors?
2020-09-09 23:06:23 INFO  RunTestCase:75 - 8
2020-09-09 23:06:23 INFO  RunTestCase:87 - INPUT data id Answer Value 
2020-09-09 23:06:23 INFO  RunTestCase:75 - 9
2020-09-09 23:06:24 INFO  RunTestCase:115 - CLICK class register-check-box
2020-09-09 23:06:24 INFO  RunTestCase:75 - 10
2020-09-09 23:06:24 INFO  RunTestCase:111 - CLICK id StepNextButton
2020-09-09 23:06:24 INFO  RunTestCase:62 - End Run Step TestCase
2020-09-09 23:06:24 INFO  RunTestCase:64 - Start Run Check Result TestCase
2020-09-09 23:06:24 INFO  RunTestCase:148 - checkActualResult 1
2020-09-09 23:06:24 INFO  RunTestCase:188 - checkActualResult EQUAL http://localhost/supermarketv3/Register.aspx?AspxAutoDetectCookieSupport=1
2020-09-09 23:06:24 INFO  RunTestCase:148 - checkActualResult 2
2020-09-09 23:06:24 INFO  RunTestCase:270 - checkActualResult EMPTY FullName
2020-09-09 23:06:24 INFO  RunTestCase:148 - checkActualResult 3
2020-09-09 23:06:24 INFO  RunTestCase:270 - checkActualResult EMPTY Email
2020-09-09 23:06:24 INFO  RunTestCase:148 - checkActualResult 4
2020-09-09 23:06:24 INFO  RunTestCase:270 - checkActualResult EMPTY UserName
2020-09-09 23:06:24 INFO  RunTestCase:148 - checkActualResult 5
2020-09-09 23:06:24 INFO  RunTestCase:270 - checkActualResult EMPTY Password
2020-09-09 23:06:24 INFO  RunTestCase:148 - checkActualResult 6
2020-09-09 23:06:24 INFO  RunTestCase:270 - checkActualResult EMPTY ConfirmPassword
2020-09-09 23:06:24 INFO  RunTestCase:148 - checkActualResult 7
2020-09-09 23:06:24 INFO  RunTestCase:270 - checkActualResult EMPTY Answer
2020-09-09 23:06:24 INFO  RunTestCase:353 - same with ExpectedResult
2020-09-09 23:06:24 INFO  RunTestCase:355 - Pass
2020-09-09 23:06:24 INFO  RunTestCase:67 - End Run Check Result TestCase
2020-09-09 23:06:25 INFO  RunTestCase:411 - End===========================Đăng kí không thành công với tất cả trường đều rỗng có check Conditon=================================
2020-09-09 23:06:25 INFO  RunTestCase:405 - Start=========================Đăng kí không thành công với tất cả trường đều rỗng có không check Conditon=================================
2020-09-09 23:06:28 INFO  RunTestCase:60 - Start Run Step TestCase
2020-09-09 23:06:28 INFO  RunTestCase:75 - 1
2020-09-09 23:06:28 INFO  RunTestCase:80 - OPENURL http://localhost/supermarketv3/Register.aspx
2020-09-09 23:06:28 INFO  RunTestCase:75 - 2
